Nombre ;Tipo;Sexo;Año;Día comienzo;Mes comienzo;Día término;Mes término;Duración;País;Región;Mortalidad;Heridos;Afectados;Sin casa;Oceáno;Ayuda OFDA/ BHA;Velocidad;Daño USD
Greta;Ciclón;1;1978;17;9;17;9;1 día;Honduras;Costa norte;;;7.500;7.500;;1;193kph;4.671
Greta;Ciclón;1;1978;18;9;18;9;1 día;Belize;Costa sur y centro;5;;6.000;6.000;;1;193kph;28.026
David & Fredric;Ciclón;2;1979;29;8;6;9;7 días;Dominica;Todo;40;2.100;70.000;;;1;;187.460
David & Fredric;Ciclón;2;1979;29;8;6;9;7 días;Rep. Dominicana;Todo;1.400;4.000;120.000;350.000;;1;;629.766
David ;Ciclón;2;1979;29;8;6;9;7 días;Martinica;Todo;;3;20.000;;;1;;209.922
David;Ciclón;2;1979;29;8;6;9;7 días;México;Veracruz;;;60.000;;;2;;
David ;Ciclón;2;1979;31;8;31;8;7 días;Haití;Norte, noroeste, sur;8;;1.110;;;1;;
Frederic;Ciclón;2;1979;12;9;12;9;1 día;Estados Unidos;Gulf coast;31;;;;;2;;9.656.409
David;Ciclón;2;1979;12;8;12;8;1 día;Guadalupe;;;;;;;;;419.844
Frederic;Ciclón;2;1979;3;9;3;9;;Angouilla;;;;;;;;;
Allen;Ciclón;2;1980;31;7;11;8;;Santa Lucía;;9;;70.000;;;1;;
Allen;Ciclón;2;1980;5;8;5;8;;Haití;Sur oeste;220;;330.000;;;1;;
Allen;Ciclón;2;1980;31;7;11;8;;Jamaica;Costa norte;6;9;30.000;;;1;;
Allen;Ciclón;2;1980;9;8;9;8;;Estados Unidos;TexaS.Louisiana;;;;;;2;;
Allen;Ciclón;2;1980;4;8;4;8;;Cuba;;3;;;;;2;;
Allen;Ciclón;2;1980;4;8;4;8;;Dominica;;;;;;;2;;
Allen;Ciclón;2;1980;4;8;4;8;;Rep. Dominicana;;7;;;;;2;;
Allen;Ciclón;2;1980;4;8;4;8;;Granada;;;;;;;2;;
Allen;Ciclón;2;1980;31;7;11;8;;Barbados;;7;;5.000;;;2;;
Allen;Ciclón;2;1980;5;8;5;8;;Martinica;;;;;;;2;;
St. Lidia;Ciclón;1;1981;;;;;;Mexico;Sinaloa;;;;;;;;
Alleta;;;;;;;;;;;;;;;;;;
Alleta;;;;;;;;;;;;;;;;;;
Alberto;;;;;;;;;;;;;;;;;;
Paul;;;;;;;;;;;;;;;;;;
Iwa;;;;;;;;;;;;;;;;;;
Alicia;;;;;;;;;;;;;;;;;;
Tico;;;;;;;;;;;;;;;;;;
Kalus;;;;;;;;;;;;;;;;;;
Klaus;;;;;;;;;;;;;;;;;;
Kate;;;;;;;;;;;;;;;;;;
Elena;;;;;;;;;;;;;;;;;;
Gloria;;;;;;;;;;;;;;;;;;
Juan;;;;;;;;;;;;;;;;;;
Kate;;;;;;;;;;;;;;;;;;
Kate;;;;;;;;;;;;;;;;;;
Kate;;;;;;;;;;;;;;;;;;
Danielle;;;;;;;;;;;;;;;;;;
Emily;;;;;;;;;;;;;;;;;;
Emily;;;;;;;;;;;;;;;;;;
Emily;;;;;;;;;;;;;;;;;;
Emily;;;;;;;;;;;;;;;;;;
Emily;;;;;;;;;;;;;;;;;;
Gilbert;;;;;;;;;;;;;;;;;;
Gilbert;;;;;;;;;;;;;;;;;;
Gilbert;;;;;;;;;;;;;;;;;;
Joan;;;;;;;;;;;;;;;;;;
Joan;;;;;;;;;;;;;;;;;;
Joan;;;;;;;;;;;;;;;;;;
Joan;;;;;;;;;;;;;;;;;;
Joan;;;;;;;;;;;;;;;;;;
Joan;;;;;;;;;;;;;;;;;;
Joan;;;;;;;;;;;;;;;;;;
Keith;;;;;;;;;;;;;;;;;;
Debby;;;;;;;;;;;;;;;;;;
Gilbert;;;;;;;;;;;;;;;;;;
Gilbert;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Allison;;;;;;;;;;;;;;;;;;
Chantal;;;;;;;;;;;;;;;;;;
Jerry;;;;;;;;;;;;;;;;;;
Arthur;;;;;;;;;;;;;;;;;;
Arthur;;;;;;;;;;;;;;;;;;
Arthur;;;;;;;;;;;;;;;;;;
Arthur;;;;;;;;;;;;;;;;;;
Arthur;;;;;;;;;;;;;;;;;;
Gustav;;;;;;;;;;;;;;;;;;
Gustav;;;;;;;;;;;;;;;;;;
Gustav;;;;;;;;;;;;;;;;;;
Gustav;;;;;;;;;;;;;;;;;;
Klaus;;;;;;;;;;;;;;;;;;
Diana;;;;;;;;;;;;;;;;;;
Bob;;;;;;;;;;;;;;;;;;
Bob;;;;;;;;;;;;;;;;;;
Grace;;;;;;;;;;;;;;;;;;
Andrew;;;;;;;;;;;;;;;;;;
Andrew;;;;;;;;;;;;;;;;;;
Axel;;;;;;;;;;;;;;;;;;
Iniki;;;;;;;;;;;;;;;;;;
Lester;;;;;;;;;;;;;;;;;;
Bret;;;;;;;;;;;;;;;;;;
Bret;;;;;;;;;;;;;;;;;;
Calvin;;;;;;;;;;;;;;;;;;
Arlene/ Beatrice;;;;;;;;;;;;;;;;;;
Cindy;;;;;;;;;;;;;;;;;;
Irwin;;;;;;;;;;;;;;;;;;
Emily;;;;;;;;;;;;;;;;;;
Lidia;;;;;;;;;;;;;;;;;;
Wylie;;;;;;;;;;;;;;;;;;
Alberto;;;;;;;;;;;;;;;;;;
Debby;;;;;;;;;;;;;;;;;;
Gordon;;;;;;;;;;;;;;;;;;
Gordon;;;;;;;;;;;;;;;;;;
Gordon;;;;;;;;;;;;;;;;;;
Gordon;;;;;;;;;;;;;;;;;;
Allison;;;;;;;;;;;;;;;;;;
Allison;;;;;;;;;;;;;;;;;;
Felix;;;;;;;;;;;;;;;;;;
Henriette;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Ismael;;;;;;;;;;;;;;;;;;
Marylin;;;;;;;;;;;;;;;;;;
Marylin;;;;;;;;;;;;;;;;;;
Marylin;;;;;;;;;;;;;;;;;;
Marylin;;;;;;;;;;;;;;;;;;
Marylin;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Marylin;;;;;;;;;;;;;;;;;;
Opal;;;;;;;;;;;;;;;;;;
Opal;;;;;;;;;;;;;;;;;;
Opal;;;;;;;;;;;;;;;;;;
Roxane;;;;;;;;;;;;;;;;;;
Erin;;;;;;;;;;;;;;;;;;
Erin;;;;;;;;;;;;;;;;;;
Ceasar and Douglas;;;;;;;;;;;;;;;;;;
Ceasar and Douglas;;;;;;;;;;;;;;;;;;
Alma, Boris;;;;;;;;;;;;;;;;;;
Ceasar and Douglas;;;;;;;;;;;;;;;;;;
Ceasar and Douglas;;;;;;;;;;;;;;;;;;
Ceasar and Douglas;;;;;;;;;;;;;;;;;;
Ceasar and Douglas;;;;;;;;;;;;;;;;;;
Elida;;;;;;;;;;;;;;;;;;
Fran;;;;;;;;;;;;;;;;;;
Hortense;;;;;;;;;;;;;;;;;;
Hortense;;;;;;;;;;;;;;;;;;
Hortense;;;;;;;;;;;;;;;;;;
Hortense;;;;;;;;;;;;;;;;;;
Fausto;;;;;;;;;;;;;;;;;;
Lilli;;;;;;;;;;;;;;;;;;
Joséphine;;;;;;;;;;;;;;;;;;
Marco;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Marcos;;;;;;;;;;;;;;;;;;
Marcos;;;;;;;;;;;;;;;;;;
Marcos;;;;;;;;;;;;;;;;;;
Nadres;;;;;;;;;;;;;;;;;;
Olaf;;;;;;;;;;;;;;;;;;
Pauline;;;;;;;;;;;;;;;;;;
Rick;;;;;;;;;;;;;;;;;;
Danny;;;;;;;;;;;;;;;;;;
Charley;;;;;;;;;;;;;;;;;;
Isis;;;;;;;;;;;;;;;;;;
Madeline & Lester;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Mitch;;;;;;;;;;;;;;;;;;
Mitch;;;;;;;;;;;;;;;;;;
Mitch;;;;;;;;;;;;;;;;;;
Mitch;;;;;;;;;;;;;;;;;;
Mitch;;;;;;;;;;;;;;;;;;
Mitch;;;;;;;;;;;;;;;;;;
Mitch;;;;;;;;;;;;;;;;;;
Mitch;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Bonnie;;;;;;;;;;;;;;;;;;
Frances;;;;;;;;;;;;;;;;;;
Hurricane Irene;;;;;;;;;;;;;;;;;;
Irene;;;;;;;;;;;;;;;;;;
Jose;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Dennis;;;;;;;;;;;;;;;;;;
Keith;;;;;;;;;;;;;;;;;;
Keith;;;;;;;;;;;;;;;;;;
Keith;;;;;;;;;;;;;;;;;;
Keith;;;;;;;;;;;;;;;;;;
Leslie;;;;;;;;;;;;;;;;;;
Allison;;;;;;;;;;;;;;;;;;
Dalila;;;;;;;;;;;;;;;;;;
Iris;;;;;;;;;;;;;;;;;;
Iris;;;;;;;;;;;;;;;;;;
Iris;;;;;;;;;;;;;;;;;;
Iris;;;;;;;;;;;;;;;;;;
Lorena;;;;;;;;;;;;;;;;;;
Michelle;;;;;;;;;;;;;;;;;;
Michelle;;;;;;;;;;;;;;;;;;
Michelle;;;;;;;;;;;;;;;;;;
Michelle;;;;;;;;;;;;;;;;;;
Michelle;;;;;;;;;;;;;;;;;;
Michelle;;;;;;;;;;;;;;;;;;
Michelle;;;;;;;;;;;;;;;;;;
Michelle;;;;;;;;;;;;;;;;;;
Chantal;;;;;;;;;;;;;;;;;;
Chantal;;;;;;;;;;;;;;;;;;
Isidore;;;;;;;;;;;;;;;;;;
Isidore;;;;;;;;;;;;;;;;;;
Lili;;;;;;;;;;;;;;;;;;
Lili;;;;;;;;;;;;;;;;;;
Lili;;;;;;;;;;;;;;;;;;
Lili;;;;;;;;;;;;;;;;;;
Lili;;;;;;;;;;;;;;;;;;
Julio;;;;;;;;;;;;;;;;;;
Isidore;;;;;;;;;;;;;;;;;;
Lili;;;;;;;;;;;;;;;;;;
Kenna;;;;;;;;;;;;;;;;;;
Lili;;;;;;;;;;;;;;;;;;
Isidore;;;;;;;;;;;;;;;;;;
Isidore;;;;;;;;;;;;;;;;;;
Isidore;;;;;;;;;;;;;;;;;;
Fabian;;;;;;;;;;;;;;;;;;
Isabel;;;;;;;;;;;;;;;;;;
Isabel;;;;;;;;;;;;;;;;;;
Marty;;;;;;;;;;;;;;;;;;
Juan;;;;;;;;;;;;;;;;;;
Odette;;;;;;;;;;;;;;;;;;
Odette;;;;;;;;;;;;;;;;;;
Ignacio;;;;;;;;;;;;;;;;;;
Bill;;;;;;;;;;;;;;;;;;
Catarina;;;;;;;;;;;;;;;;;;
Charley;;;;;;;;;;;;;;;;;;
Charley;;;;;;;;;;;;;;;;;;
Charley;;;;;;;;;;;;;;;;;;
Charley;;;;;;;;;;;;;;;;;;
Gaston;;;;;;;;;;;;;;;;;;
Frances;;;;;;;;;;;;;;;;;;
Frances;;;;;;;;;;;;;;;;;;
Frances;;;;;;;;;;;;;;;;;;
Frances;;;;;;;;;;;;;;;;;;
Frances;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Jeanne;;;;;;;;;;;;;;;;;;
Jeanne;;;;;;;;;;;;;;;;;;
Jeanne;;;;;;;;;;;;;;;;;;
Jeanne;;;;;;;;;;;;;;;;;;
Jeanne;;;;;;;;;;;;;;;;;;
Jeanne;;;;;;;;;;;;;;;;;;
Huracan Dennis;;;;;;;;;;;;;;;;;;
Huracan Dennis;;;;;;;;;;;;;;;;;;
Huracan Dennis;;;;;;;;;;;;;;;;;;
Huracan Dennis;;;;;;;;;;;;;;;;;;
Huracan Dennis;;;;;;;;;;;;;;;;;;
Emily;;;;;;;;;;;;;;;;;;
Emily;;;;;;;;;;;;;;;;;;
Emily;;;;;;;;;;;;;;;;;;
Emily;;;;;;;;;;;;;;;;;;
Emily;;;;;;;;;;;;;;;;;;
Katrina;;;;;;;;;;;;;;;;;;
Bret;;;;;;;;;;;;;;;;;;
Rita;;;;;;;;;;;;;;;;;;
Stan;;;;;;;;;;;;;;;;;;
Stan;;;;;;;;;;;;;;;;;;
Stan;;;;;;;;;;;;;;;;;;
Stan;;;;;;;;;;;;;;;;;;
Stan;;;;;;;;;;;;;;;;;;
Stan;;;;;;;;;;;;;;;;;;
Stan;;;;;;;;;;;;;;;;;;
Huracan Wilma;;;;;;;;;;;;;;;;;;
Huracan Wilma;;;;;;;;;;;;;;;;;;
Huracan Wilma;;;;;;;;;;;;;;;;;;
Huracan Wilma;;;;;;;;;;;;;;;;;;
Huracan Wilma;;;;;;;;;;;;;;;;;;
Huracan Wilma;;;;;;;;;;;;;;;;;;
Huracan Wilma;;;;;;;;;;;;;;;;;;
Huracan Wilma;;;;;;;;;;;;;;;;;;
Alpha;;;;;;;;;;;;;;;;;;
Alpha;;;;;;;;;;;;;;;;;;
Beta;;;;;;;;;;;;;;;;;;
Beta;;;;;;;;;;;;;;;;;;
Beta;;;;;;;;;;;;;;;;;;
Gamma;;;;;;;;;;;;;;;;;;
Gamma;;;;;;;;;;;;;;;;;;
Adrian;;;;;;;;;;;;;;;;;;
Alberto;;;;;;;;;;;;;;;;;;
Ernesto;;;;;;;;;;;;;;;;;;
Ernesto;;;;;;;;;;;;;;;;;;
John;;;;;;;;;;;;;;;;;;
Lane;;;;;;;;;;;;;;;;;;
Paul ;;;;;;;;;;;;;;;;;;
Erin;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Felix;;;;;;;;;;;;;;;;;;
Felix;;;;;;;;;;;;;;;;;;
Felix;;;;;;;;;;;;;;;;;;
Felix;;;;;;;;;;;;;;;;;;
Felix;;;;;;;;;;;;;;;;;;
Lorenzo;;;;;;;;;;;;;;;;;;
Noel;;;;;;;;;;;;;;;;;;
Noel;;;;;;;;;;;;;;;;;;
Noel;;;;;;;;;;;;;;;;;;
Noel;;;;;;;;;;;;;;;;;;
Noel;;;;;;;;;;;;;;;;;;
Olga;;;;;;;;;;;;;;;;;;
Olga;;;;;;;;;;;;;;;;;;
Olga;;;;;;;;;;;;;;;;;;
Henriette;;;;;;;;;;;;;;;;;;
Arthur;;;;;;;;;;;;;;;;;;
Alma;;;;;;;;;;;;;;;;;;
Alma;;;;;;;;;;;;;;;;;;
Alma;;;;;;;;;;;;;;;;;;
Huracán Dolly;;;;;;;;;;;;;;;;;;
Huracán Dolly;;;;;;;;;;;;;;;;;;
Huracán Dolly;;;;;;;;;;;;;;;;;;
Huracán Fay;;;;;;;;;;;;;;;;;;
Huracán Fay;;;;;;;;;;;;;;;;;;
Huracán Fay;;;;;;;;;;;;;;;;;;
Huracán Fay;;;;;;;;;;;;;;;;;;
Huracán Fay;;;;;;;;;;;;;;;;;;
Huracán Gustav;;;;;;;;;;;;;;;;;;
Huracán Gustav;;;;;;;;;;;;;;;;;;
Huracán Gustav;;;;;;;;;;;;;;;;;;
Huracán Gustav;;;;;;;;;;;;;;;;;;
Huracán Gustav;;;;;;;;;;;;;;;;;;
Huracán Gustav;;;;;;;;;;;;;;;;;;
Huracán Gustav;;;;;;;;;;;;;;;;;;
Huracán Gustav;;;;;;;;;;;;;;;;;;
Huracán Hanna;;;;;;;;;;;;;;;;;;
Huracán Hanna;;;;;;;;;;;;;;;;;;
Huracán Hanna;;;;;;;;;;;;;;;;;;
Huracán Hanna;;;;;;;;;;;;;;;;;;
Huracán Ike;;;;;;;;;;;;;;;;;;
Huracán Ike;;;;;;;;;;;;;;;;;;
Huracán Ike;;;;;;;;;;;;;;;;;;
Huracán Ike;;;;;;;;;;;;;;;;;;
Huracán Ike;;;;;;;;;;;;;;;;;;
Huracán Paloma;;;;;;;;;;;;;;;;;;
Huracán Paloma;;;;;;;;;;;;;;;;;;
Huracán Omar;;;;;;;;;;;;;;;;;;
Huracán Omar;;;;;;;;;;;;;;;;;;
Huracán Bill;;;;;;;;;;;;;;;;;;
Huracán Bill;;;;;;;;;;;;;;;;;;
Huracán Jimena;;;;;;;;;;;;;;;;;;
Huracán Ide;;;;;;;;;;;;;;;;;;
Huracán Ide;;;;;;;;;;;;;;;;;;
Huracán Ide;;;;;;;;;;;;;;;;;;
Huracán Ide;;;;;;;;;;;;;;;;;;
Huarcán Agatha;;;;;;;;;;;;;;;;;;
Huarcán Agatha;;;;;;;;;;;;;;;;;;
Huarcán Agatha;;;;;;;;;;;;;;;;;;
Alex;;;;;;;;;;;;;;;;;;
Alex;;;;;;;;;;;;;;;;;;
Alex;;;;;;;;;;;;;;;;;;
Alex;;;;;;;;;;;;;;;;;;
Huracán Frank;;;;;;;;;;;;;;;;;;
Huracán Earl;;;;;;;;;;;;;;;;;;
Huracán Earl;;;;;;;;;;;;;;;;;;
Huracán Karl;;;;;;;;;;;;;;;;;;
Nicole;;;;;;;;;;;;;;;;;;
Mathew;;;;;;;;;;;;;;;;;;
Mathew;;;;;;;;;;;;;;;;;;
Mathew;;;;;;;;;;;;;;;;;;
Mathew;;;;;;;;;;;;;;;;;;
Mathew;;;;;;;;;;;;;;;;;;
Mathew;;;;;;;;;;;;;;;;;;
Mathew;;;;;;;;;;;;;;;;;;
Hermine;;;;;;;;;;;;;;;;;;
Huracán Tomas;;;;;;;;;;;;;;;;;;
Huracán Tomas;;;;;;;;;;;;;;;;;;
Huracán Tomas;;;;;;;;;;;;;;;;;;
Huracán Tomas;;;;;;;;;;;;;;;;;;
Huracán Tomas;;;;;;;;;;;;;;;;;;
Huracán Tomas;;;;;;;;;;;;;;;;;;